"isEnabled","name","datatype","instanceType","label","uuid:ID","id","isRequired"
"True","VSORRES","integer","BiomedicalConceptProperty","VSORRES","7f48aef3-5bcf-4c5e-8851-40de0bd29b56","BiomedicalConceptProperty_31","True"
"True","VSORRESU","","BiomedicalConceptProperty","VSORRESU","a2cb8f89-d752-4867-b38b-0b6a2b33da09","BiomedicalConceptProperty_32","True"
"True","VSPOS","","BiomedicalConceptProperty","VSPOS","2917dae0-1c68-4e60-a1fd-9e23d47eb1b9","BiomedicalConceptProperty_33","True"
"True","VSLOC","","BiomedicalConceptProperty","VSLOC","5147cf76-cbc5-4951-893b-9bc7f1ea2f4f","BiomedicalConceptProperty_34","True"
"True","VSLAT","","BiomedicalConceptProperty","VSLAT","bafa00d2-aa9e-47a7-9ed8-9323472cf392","BiomedicalConceptProperty_35","True"
"True","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","1c571417-faa5-47b8-b027-f7f2b1229448","BiomedicalConceptProperty_36","True"
"True","VSORRES","float","BiomedicalConceptProperty","VSORRES","cd980362-8868-4908-bc8e-a5e1b8da3639","BiomedicalConceptProperty_37","True"
"True","VSORRESU","","BiomedicalConceptProperty","VSORRESU","de40daad-b8f8-4cc0-9837-87663d49ce36","BiomedicalConceptProperty_38","True"
"True","VSLOC","","BiomedicalConceptProperty","VSLOC","9ac3db92-0be8-461a-9a41-f75d14e202bf","BiomedicalConceptProperty_39","True"
"True","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","1e598ebb-46b8-44d1-8c90-e204e774cf59","BiomedicalConceptProperty_40","True"
"True","VSORRES","float","BiomedicalConceptProperty","VSORRES","76655563-def5-4628-ba9b-4dffac8cf4cf","BiomedicalConceptProperty_41","True"
"True","VSORRESU","","BiomedicalConceptProperty","VSORRESU","f39ec7a5-993b-4667-9fd0-d19ffa4a2e4c","BiomedicalConceptProperty_42","True"
"True","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","8026b634-1989-4eb9-90c7-86c89f559168","BiomedicalConceptProperty_43","True"
"True","VSORRES","float","BiomedicalConceptProperty","VSORRES","71cdf38b-d0d5-4541-9347-86c4b797c5bc","BiomedicalConceptProperty_44","True"
"True","VSORRESU","","BiomedicalConceptProperty","VSORRESU","235b90ea-8ef2-44e3-9888-f9881dceb35f","BiomedicalConceptProperty_45","True"
"True","LBTESTCD","","BiomedicalConceptProperty","LBTESTCD","b0d6506e-8f1c-41b8-8a47-dcb9f42a3d79","BiomedicalConceptProperty_46","True"
"True","LBORRES","float","BiomedicalConceptProperty","LBORRES","2ecfe5ca-5ea3-42f7-a9ed-cadb8520912f","BiomedicalConceptProperty_47","True"
"True","LBORRESU","","BiomedicalConceptProperty","LBORRESU","e52700c4-67e7-422c-96c7-bfe4b5475980","BiomedicalConceptProperty_48","True"
"True","LBSPEC","","BiomedicalConceptProperty","LBSPEC","f6b8ccbe-90ad-491e-9c2e-58302b9434e0","BiomedicalConceptProperty_49","True"
"True","LBFAST","","BiomedicalConceptProperty","LBFAST","3327c092-86ed-406b-b0cf-fe4e09a66f43","BiomedicalConceptProperty_50","True"
"True","LBTESTCD","","BiomedicalConceptProperty","LBTESTCD","ebc023d9-4928-4daa-a569-97cc317b2d2c","BiomedicalConceptProperty_51","True"
"True","LBORRES","text","BiomedicalConceptProperty","LBORRES","b1448144-6d51-4ed4-92f1-b39b951f55c5","BiomedicalConceptProperty_52","True"
"True","LBSPEC","","BiomedicalConceptProperty","LBSPEC","1549d9ec-58c5-4db3-9872-777aff25116d","BiomedicalConceptProperty_53","True"
"True","LBFAST","","BiomedicalConceptProperty","LBFAST","4f443c53-5fca-4627-af80-18dc9b72b088","BiomedicalConceptProperty_54","True"
"True","LBTESTCD","","BiomedicalConceptProperty","LBTESTCD","761ab5ac-a134-4c95-812f-daf2c2f214d4","BiomedicalConceptProperty_55","True"
"True","LBORRES","float","BiomedicalConceptProperty","LBORRES","acc0aac1-d9fb-4e28-aafb-7bdcd591b7b8","BiomedicalConceptProperty_56","True"
"True","LBORRESU","","BiomedicalConceptProperty","LBORRESU","db72f383-5252-4b1d-b1c3-3ac3c66a9bc9","BiomedicalConceptProperty_57","True"
"True","LBSPEC","","BiomedicalConceptProperty","LBSPEC","b04f691c-6271-4d1d-80a8-e024a7e5a984","BiomedicalConceptProperty_58","True"
"True","LBFAST","","BiomedicalConceptProperty","LBFAST","19dd1cd8-ce4a-47cc-8269-34bacb411ebc","BiomedicalConceptProperty_59","True"
"True","LBTESTCD","","BiomedicalConceptProperty","LBTESTCD","317d2f99-20d3-488f-9467-e1c80ca769dc","BiomedicalConceptProperty_60","True"
"True","LBORRES","float","BiomedicalConceptProperty","LBORRES","a0cfbbed-bc5d-4481-a2b6-e0a5a7f11bef","BiomedicalConceptProperty_61","True"
"True","LBORRESU","","BiomedicalConceptProperty","LBORRESU","3ab6adb8-57da-4d7d-8b1a-203427b229a5","BiomedicalConceptProperty_62","True"
"True","LBSPEC","","BiomedicalConceptProperty","LBSPEC","cb2bb467-5c12-4aa7-954a-dd71f1770683","BiomedicalConceptProperty_63","True"
"True","LBFAST","","BiomedicalConceptProperty","LBFAST","573c2586-782b-4319-8d95-e40a28e0e502","BiomedicalConceptProperty_64","True"
"True","LBTESTCD","","BiomedicalConceptProperty","LBTESTCD","56b7d507-e53a-4e59-a22c-b58885db335c","BiomedicalConceptProperty_65","True"
"True","LBORRES","float","BiomedicalConceptProperty","LBORRES","244cda3b-0343-4d8a-9f52-a15b4aa05272","BiomedicalConceptProperty_66","True"
"True","LBORRESU","","BiomedicalConceptProperty","LBORRESU","fd9a6999-d85a-4a13-b282-70292a607085","BiomedicalConceptProperty_67","True"
"True","LBSPEC","","BiomedicalConceptProperty","LBSPEC","55ae5785-0ff9-494b-b5c4-ea4b25359add","BiomedicalConceptProperty_68","True"
"True","LBFAST","","BiomedicalConceptProperty","LBFAST","39c328a6-47ac-432e-9b12-5ed799f0f95e","BiomedicalConceptProperty_69","True"
"True","LBTESTCD","","BiomedicalConceptProperty","LBTESTCD","a4b3ac2b-815e-4f92-b9e1-3d0ddd4e67f0","BiomedicalConceptProperty_70","True"
"True","LBORRES","float","BiomedicalConceptProperty","LBORRES","d0a74d54-7c03-4133-b831-0ddaf08556e8","BiomedicalConceptProperty_71","True"
"True","LBORRESU","","BiomedicalConceptProperty","LBORRESU","2b773a8b-aa56-4fb9-bb76-f15aaf1f54e1","BiomedicalConceptProperty_72","True"
"True","LBSPEC","","BiomedicalConceptProperty","LBSPEC","63ddbf79-b73d-459b-9058-cdfaae36327d","BiomedicalConceptProperty_73","True"
"True","LBFAST","","BiomedicalConceptProperty","LBFAST","a110ebd0-5aa7-477f-9eed-696c3fab34d1","BiomedicalConceptProperty_74","True"
"True","LBTESTCD","","BiomedicalConceptProperty","LBTESTCD","77867044-ba3e-4e02-a7c2-ebff09e44439","BiomedicalConceptProperty_75","True"
"True","LBORRES","float","BiomedicalConceptProperty","LBORRES","ed021d34-1283-4dfc-9450-b9dd1a27dffe","BiomedicalConceptProperty_76","True"
"True","LBORRESU","","BiomedicalConceptProperty","LBORRESU","861dc2c8-986c-4ab1-a3f1-9ba98ad65616","BiomedicalConceptProperty_77","True"
"True","LBSPEC","","BiomedicalConceptProperty","LBSPEC","1e0e0823-c698-4414-8138-3b8b842c8b21","BiomedicalConceptProperty_78","True"
"True","LBFAST","","BiomedicalConceptProperty","LBFAST","040e62f0-04cc-43db-8e88-25b27d34b2cf","BiomedicalConceptProperty_79","True"
"True","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","a24ef92a-d7e5-4953-b8ab-059a79cf126b","BiomedicalConceptProperty_80","True"
"True","VSORRES","integer","BiomedicalConceptProperty","VSORRES","55bccc35-025f-44a9-a6ea-760fd045311d","BiomedicalConceptProperty_81","True"
"True","VSORRESU","","BiomedicalConceptProperty","VSORRESU","da91f68a-13a7-4347-b171-129c12c3b556","BiomedicalConceptProperty_82","True"
