"instanceType","name","datatype","isRequired","isEnabled","uuid:ID","label","id"
"BiomedicalConceptProperty","VSORRESU","","True","True","78b3ab88-9076-44d6-b5a1-5db005c50446","VSORRESU","BiomedicalConceptProperty_45"
"BiomedicalConceptProperty","LBTESTCD","","True","True","0c532328-4cf4-4fe4-b781-1428d344b24d","LBTESTCD","BiomedicalConceptProperty_46"
"BiomedicalConceptProperty","LBORRES","float","True","True","e7dd8dd0-5daa-44fe-a572-c3a25f80bd6d","LBORRES","BiomedicalConceptProperty_47"
"BiomedicalConceptProperty","LBORRESU","","True","True","440bd52a-262d-4ef9-874e-ca95a63c2a1a","LBORRESU","BiomedicalConceptProperty_48"
"BiomedicalConceptProperty","LBSPEC","","True","True","1f469833-4706-4b68-9d76-1649a0542ded","LBSPEC","BiomedicalConceptProperty_49"
"BiomedicalConceptProperty","LBFAST","","True","True","d66116a7-580e-4f8e-aa12-7fc2672c580e","LBFAST","BiomedicalConceptProperty_50"
"BiomedicalConceptProperty","LBTESTCD","","True","True","84e92613-1fc4-40d7-b178-fe7b25bf1715","LBTESTCD","BiomedicalConceptProperty_51"
"BiomedicalConceptProperty","LBORRES","text","True","True","50ac3cfe-34c7-47d7-b530-0029693a5ffa","LBORRES","BiomedicalConceptProperty_52"
"BiomedicalConceptProperty","LBSPEC","","True","True","53f6b99d-c702-48f2-a487-19e9a9f4df50","LBSPEC","BiomedicalConceptProperty_53"
"BiomedicalConceptProperty","LBFAST","","True","True","f704ab8b-3683-4345-a8ea-52d2b50b2a4c","LBFAST","BiomedicalConceptProperty_54"
"BiomedicalConceptProperty","LBTESTCD","","True","True","e13ed1cb-bb4b-4db4-a180-15b143480298","LBTESTCD","BiomedicalConceptProperty_55"
"BiomedicalConceptProperty","LBORRES","float","True","True","1f488814-7888-41fb-b09b-3c97f80385ac","LBORRES","BiomedicalConceptProperty_56"
"BiomedicalConceptProperty","LBORRESU","","True","True","5f6c7022-58c0-44c9-8627-4ee6c144167b","LBORRESU","BiomedicalConceptProperty_57"
"BiomedicalConceptProperty","LBSPEC","","True","True","858e5f52-22fa-4ae4-b8f4-9c0cb7ee5020","LBSPEC","BiomedicalConceptProperty_58"
"BiomedicalConceptProperty","LBFAST","","True","True","7054bcdb-e44c-411b-9ae9-93de5ef5f765","LBFAST","BiomedicalConceptProperty_59"
"BiomedicalConceptProperty","LBTESTCD","","True","True","d1e1806d-a66c-4d2d-a1ac-0e23f56ed979","LBTESTCD","BiomedicalConceptProperty_60"
"BiomedicalConceptProperty","LBORRES","float","True","True","77662694-85e4-44d1-8e4a-09dda31c50d2","LBORRES","BiomedicalConceptProperty_61"
"BiomedicalConceptProperty","LBORRESU","","True","True","7fdf728e-7075-4191-bce7-ca0509421045","LBORRESU","BiomedicalConceptProperty_62"
"BiomedicalConceptProperty","LBSPEC","","True","True","87da79ff-af14-4028-bd3d-455436765172","LBSPEC","BiomedicalConceptProperty_63"
"BiomedicalConceptProperty","LBFAST","","True","True","b40f19a9-b814-4820-9a82-3b1a674b0f51","LBFAST","BiomedicalConceptProperty_64"
"BiomedicalConceptProperty","LBTESTCD","","True","True","a0593d69-ece6-4b09-9e13-a4f6e0689d94","LBTESTCD","BiomedicalConceptProperty_65"
"BiomedicalConceptProperty","LBORRES","float","True","True","2a4fa182-bade-44f9-8c32-7dec45eae095","LBORRES","BiomedicalConceptProperty_66"
